Date,Open,High,Low,Close,Volume
2015-04-16,2134.14,2139.9,2125.54,2139.9,476419000
2015-04-17,2142.72,2144.76,2134.1,2143.5,464626000
2015-04-20,2126.55,2146.73,2126.55,2146.71,509037000
2015-04-21,2153.42,2153.84,2140.12,2144.79,561780000
2015-04-22,2146.59,2161.23,2125.88,2143.89,769386000
2015-04-23,2156.94,2174.72,2139.33,2173.41,521587000
2015-04-24,2181.24,2189.54,2154.27,2159.8,508419000
2015-04-27,2169.14,2169.14,2152.09,2157.54,392339000
2015-04-28,2162.5,2164.52,2144.85,2147.67,415054000
2015-04-29,2155.01,2156.24,2126.36,2142.63,458065000
2015-04-30,2134.94,2136.9,2121.29,2127.17,509129000
2015-05-04,2134.51,2139.3,2128.72,2132.23,355620000
2015-05-06,2122.03,2123.22,2095.6,2104.58,428091000
2015-05-07,2098.48,2099.44,2067.99,2091.0,423246000
2015-05-08,2090.19,2094.06,2082.72,2085.52,309504000
2015-05-11,2106.12,2110.79,2097.38,2097.38,329704000
2015-05-12,2100.63,2101.72,2088.64,2096.77,391923000
2015-05-13,2100.1,2115.36,2100.08,2114.16,377032000
2015-05-14,2115.59,2121.68,2111.72,2120.33,430832000
2015-05-15,2132.53,2134.36,2104.77,2106.5,491705000
2015-05-18,2108.15,2113.72,2099.48,2113.72,445154000
2015-05-19,2114.29,2126.89,2107.62,2120.85,418479000
2015-05-20,2128.01,2140.24,2125.49,2139.54,452114000
2015-05-21,2139.68,2140.6,2121.49,2122.81,398146000
2015-05-22,2131.11,2146.1,2126.88,2146.1,444585000
2015-05-26,2146.47,2148.7,2130.3,2143.5,381383000
2015-05-27,2133.49,2134.95,2103.64,2107.5,439029000
2015-05-28,2117.77,2123.52,2110.89,2110.89,416116000
2015-05-29,2109.38,2123.39,2106.7,2114.8,456143000
2015-06-01,2110.12,2110.88,2086.0,2102.37,426927000
2015-06-02,2102.62,2107.17,2076.16,2078.64,520056000
2015-06-03,2078.51,2087.95,2059.34,2063.16,541167000
2015-06-04,2070.49,2082.6,2062.75,2072.86,400364000
2015-06-05,2062.22,2075.02,2060.91,2068.1,394291000
2015-06-08,2068.51,2068.51,2056.5,2065.19,393563000
2015-06-09,2063.4,2073.75,2057.21,2064.03,421880000
2015-06-10,2079.13,2080.03,2049.13,2051.32,427360000
2015-06-11,2065.07,2065.07,2051.1,2056.61,457020000
2015-06-12,2068.45,2074.78,2044.87,2052.17,388258000
2015-06-15,2041.07,2049.68,2033.72,2042.32,313945000
2015-06-16,2045.01,2045.77,2008.46,2028.72,381408000
2015-06-17,2035.48,2037.12,2021.5,2034.86,354723000
2015-06-18,2046.19,2052.0,2036.78,2041.88,390973000
2015-06-19,2056.54,2057.71,2044.71,2046.96,400329000
2015-06-22,2059.6,2068.07,2050.3,2055.16,266962000
2015-06-23,2071.3,2086.09,2066.21,2081.2,329799000
2015-06-24,2086.69,2087.68,2076.78,2085.53,400753000
2015-06-25,2077.84,2088.16,2073.95,2085.06,575912000
2015-06-26,2083.4,2097.01,2080.79,2090.26,492773000
2015-06-29,2056.44,2068.85,2054.33,2060.49,503807000
2015-06-30,2054.83,2075.02,2049.44,2074.2,392413000
2015-07-01,2077.27,2100.34,2072.54,2097.89,471565000
2015-07-02,2107.11,2110.81,2098.76,2107.33,565339000
2015-07-03,2107.51,2109.68,2094.02,2104.41,419549000
2015-07-06,2076.06,2089.86,2052.23,2053.93,474042000
2015-07-07,2067.04,2067.93,2028.98,2040.29,502809000
2015-07-08,2045.88,2046.33,2010.83,2016.21,453118000
2015-07-09,2000.19,2027.81,1983.78,2027.81,408457000
2015-07-10,2036.89,2037.84,2024.76,2031.17,381307000
2015-07-13,2033.25,2063.28,2030.21,2061.52,426286000
2015-07-14,2070.44,2070.44,2052.21,2059.23,503078000
2015-07-15,2068.38,2079.9,2060.66,2072.91,619128000
2015-07-16,2073.29,2088.33,2071.02,2087.89,697930000
2015-07-17,2101.22,2101.22,2068.36,2076.79,819227000
2015-07-20,2077.09,2081.43,2068.19,2073.31,870679000
2015-07-21,2082.18,2088.24,2069.21,2083.62,727407000
2015-07-22,2071.06,2075.94,2059.45,2064.73,1160824000
2015-07-23,2068.93,2069.2,2053.52,2065.07,739793000
2015-07-24,2060.66,2060.66,2040.3,2045.96,611868000
2015-07-27,2034.82,2048.15,2032.44,2038.81,543243000
2015-07-28,2026.33,2045.55,2015.91,2039.1,498527000
2015-07-29,2053.62,2055.95,2037.62,2037.62,520572000
2015-07-30,2040.24,2044.93,2019.03,2019.03,509318000
2015-07-31,2026.98,2030.16,2004.7,2030.16,448192000
2015-08-03,2026.25,2026.25,2005.21,2008.49,358746000
2015-08-04,2007.75,2027.99,2007.66,2027.99,388790000
2015-08-05,2027.22,2035.25,2022.98,2029.76,319211000
2015-08-06,2037.26,2038.41,2011.6,2013.29,340506000
2015-08-07,2009.39,2012.9,2001.13,2010.23,334578000
2015-08-10,2008.44,2008.55,1993.96,2003.17,308327000
2015-08-11,2020.15,2021.81,1986.46,1986.65,366407000
2015-08-12,1980.04,1989.1,1948.91,1975.47,524252000
2015-08-13,1975.47,1990.7,1966.02,1983.46,376591000
2015-08-17,1991.05,1991.05,1968.44,1968.52,561574000
2015-08-18,1977.61,1979.33,1954.35,1956.26,472766000
2015-08-19,1954.56,1959.51,1915.91,1939.38,506786000
2015-08-20,1929.43,1933.79,1912.55,1914.55,397527000
2015-08-21,1862.79,1886.49,1856.91,1876.07,512313000
2015-08-24,1860.03,1872.86,1800.75,1829.81,415178000
2015-08-25,1840.94,1864.3,1806.79,1846.63,451586000
2015-08-26,1843.7,1895.45,1835.58,1894.09,453386000
2015-08-27,1912.42,1920.39,1898.98,1908.0,482660000
2015-08-28,1932.39,1938.61,1927.39,1937.67,446751000
